series_id,dataset,train_length,test_length,frequency
multi_seasonal_0,multi_seasonal,240,60,hourly
multi_seasonal_1,multi_seasonal,240,60,hourly
multi_seasonal_2,multi_seasonal,240,60,hourly
multi_seasonal_3,multi_seasonal,240,60,hourly
multi_seasonal_4,multi_seasonal,240,60,hourly
multi_seasonal_5,multi_seasonal,240,60,hourly
multi_seasonal_6,multi_seasonal,240,60,hourly
multi_seasonal_7,multi_seasonal,240,60,hourly
multi_seasonal_8,multi_seasonal,240,60,hourly
multi_seasonal_9,multi_seasonal,240,60,hourly
multi_seasonal_10,multi_seasonal,240,60,hourly
multi_seasonal_11,multi_seasonal,240,60,hourly
multi_seasonal_12,multi_seasonal,240,60,hourly
multi_seasonal_13,multi_seasonal,240,60,hourly
multi_seasonal_14,multi_seasonal,240,60,hourly
multi_seasonal_15,multi_seasonal,240,60,hourly
multi_seasonal_16,multi_seasonal,240,60,hourly
multi_seasonal_17,multi_seasonal,240,60,hourly
multi_seasonal_18,multi_seasonal,240,60,hourly
multi_seasonal_19,multi_seasonal,240,60,hourly
