series_id,dataset,train_length,test_length,frequency
random_walk_0,random_walk,120,30,daily
random_walk_1,random_walk,120,30,daily
random_walk_2,random_walk,120,30,daily
random_walk_3,random_walk,120,30,daily
random_walk_4,random_walk,120,30,daily
random_walk_5,random_walk,120,30,daily
random_walk_6,random_walk,120,30,daily
random_walk_7,random_walk,120,30,daily
random_walk_8,random_walk,120,30,daily
random_walk_9,random_walk,120,30,daily
random_walk_10,random_walk,120,30,daily
random_walk_11,random_walk,120,30,daily
random_walk_12,random_walk,120,30,daily
random_walk_13,random_walk,120,30,daily
random_walk_14,random_walk,120,30,daily
random_walk_15,random_walk,120,30,daily
random_walk_16,random_walk,120,30,daily
random_walk_17,random_walk,120,30,daily
random_walk_18,random_walk,120,30,daily
random_walk_19,random_walk,120,30,daily
