series_id,dataset,train_length,test_length,frequency
retail_sales_0,retail_sales,1168,293,daily
retail_sales_1,retail_sales,1168,293,daily
retail_sales_2,retail_sales,1168,293,daily
retail_sales_3,retail_sales,1168,293,daily
retail_sales_4,retail_sales,1168,293,daily
retail_sales_5,retail_sales,1168,293,daily
retail_sales_6,retail_sales,1168,293,daily
retail_sales_7,retail_sales,1168,293,daily
retail_sales_8,retail_sales,1168,293,daily
retail_sales_9,retail_sales,1168,293,daily
retail_sales_10,retail_sales,1168,293,daily
retail_sales_11,retail_sales,1168,293,daily
retail_sales_12,retail_sales,1168,293,daily
retail_sales_13,retail_sales,1168,293,daily
retail_sales_14,retail_sales,1168,293,daily
retail_sales_15,retail_sales,1168,293,daily
retail_sales_16,retail_sales,1168,293,daily
retail_sales_17,retail_sales,1168,293,daily
retail_sales_18,retail_sales,1168,293,daily
retail_sales_19,retail_sales,1168,293,daily
